"Ticker","Nome","Negócios","Última (R$)","Variação"
"VALE3","Vale","63.100.200","55,30","+3,64%"
"ABEV3","Ambev","47.073.600","13,65","+2,02%"
"B3SA3","B3","43.698.400","14,45","-0,34%"
"ASAI3","Assaí","30.486.700","10,08","-7,52%"
"BBDC4","Banco Bradesco","29.531.300","16,36","-1,80%"
"COGN3","Cogna","29.005.000","2,85","+0,00%"
"PETR4","Petrobras","28.311.600","32,05","+1,78%"
"MGLU3","Magazine Luiza","25.674.900","9,07","-6,59%"
"USIM5","Usiminas","23.336.400","4,32","+5,37%"
"BBAS3","Banco do Brasil","22.781.500","21,99","+0,37%"
"CPLE6","Copel","22.432.300","12,06","-2,90%"
"ITUB4","Itaú Unibanco","19.739.300","36,80","-0,81%"
"RADL3","RaiaDrogasil","19.406.300","15,12","-0,46%"
"ITSA4","Itaúsa","18.391.100","10,88","-1,09%"
"RAIZ4","Raízen","18.376.200","1,68","+0,60%"
"VAMO3","Grupo Vamos","17.632.900","3,95","-3,66%"
"LREN3","Lojas Renner","16.801.900","18,83","-3,29%"
"RENT3","Localiza","15.943.300","38,29","-5,76%"
"CSNA3","Siderúrgica Nacional","15.574.200","7,97","+6,13%"
"BEEF3","Minerva","14.506.500","4,99","-0,40%"
"CMIG4","Cemig","13.895.300","10,84","-1,28%"
"PCAR3","Grupo Pão de Açúcar","12.662.700","3,17","+0,32%"
"SMFT3","Smart Fit","12.482.800","23,10","-6,06%"
"CSAN3","Cosan","12.153.600","6,93","-1,98%"
"GGBR4","Gerdau","11.037.900","16,50","+3,12%"
"EQTL3","Equatorial Energia","10.740.700","35,39","-2,05%"
"POMO4","Marcopolo","10.615.200","7,98","+0,13%"
"GOAU4","Metalúrgica Gerdau","10.377.000","9,22","+3,25%"
"BPAC11","Banco BTG Pactual","10.367.900","41,54","-3,10%"
"OIBR3","Oi","10.204.300","0,59","-9,23%"
"ECOR3","EcoRodovias","9.481.600","7,30","-4,70%"
"CMIN3","CSN Mineração","9.180.500","5,04","+1,82%"
"AZUL4","Azul","9.146.400","0,93","-1,06%"
"RAIL3","Rumo","8.984.000","18,12","-3,00%"
"PETR3","Petrobras","8.946.600","34,95","+2,10%"
"ANIM3","Ânima Educação","8.709.900","4,17","-2,34%"
"LWSA3","Locaweb","8.617.800","3,62","-3,98%"
"MRVE3","MRV","8.502.300","6,25","-2,50%"
"KLBN11","Klabin","8.468.700","18,99","+2,87%"
"BBDC3","Banco Bradesco","8.438.200","14,12","-1,53%"
"CVCB3","CVC","8.202.900","2,39","-2,05%"
"VBBR3","Vibra Energia","7.904.500","21,43","-1,79%"
"HAPV3","Hapvida","7.549.000","34,53","-5,14%"
"CPLE3","Copel","7.090.100","11,27","-2,93%"
"SIMH3","Simpar","7.072.900","4,86","-3,95%"
"SUZB3","Suzano","7.066.900","51,71","+1,71%"
"WEGE3","WEG","7.025.100","42,43","-0,16%"
"BRAV3","3R Petroleum","6.949.500","17,61","+0,92%"
"MOVI3","Movida","6.836.400","6,66","-4,17%"
"PRIO3","PetroRio","6.679.100","42,16","+0,86%"
"RDOR3","Rede D'Or","6.566.500","34,79","-1,75%"
"JHSF3","JHSF","6.488.300","5,23","-3,33%"
"ELET3","Eletrobras","6.451.400","40,10","-0,82%"
"MRFG3","Marfrig","6.274.300","22,13","-2,08%"
"EMBR3","Embraer","6.189.600","79,62","-0,98%"
"RAPT4","Randon","6.098.400","8,62","-1,49%"
"CYRE3","Cyrela","6.048.600","25,79","-2,94%"
"ENEV3","Eneva","5.996.700","13,56","-1,02%"
"GMAT3","Grupo Mateus","5.740.800","7,91","-3,77%"
"SANB11","Banco Santander","5.573.200","29,38","-3,00%"
"MOTV3","Motiva","5.527.800","13,59","-1,74%"
"CXSE3","Caixa Seguridade","5.373.800","14,74","-0,34%"
"BBSE3","BB Seguridade","5.258.000","36,25","-0,49%"
"ARML3","Armac","5.114.300","2,95","-12,72%"
"VIVT3","Vivo","5.050.500","31,50","+0,77%"
"BRAP4","Bradespar","5.016.600","16,48","+3,71%"
"IFCM3","Infracommerce","4.992.200","0,05","+0,00%"
"TIMS3","TIM","4.945.900","21,96","-0,72%"
"ALOS3","Allos","4.944.900","22,40","-2,10%"
"PETZ3","Petz","4.933.600","3,79","-1,56%"
"SRNA3","Serena Energia","4.884.000","11,61","-0,43%"
"SBSP3","Sabesp","4.683.000","115,22","-4,41%"
"CBAV3","CBA","4.663.600","4,87","+1,04%"
"AURE3","Auren Energia","4.341.000","9,70","-3,67%"
"SEQL3","Sequoia Logística","4.158.300","1,11","+11,00%"
"STBP3","Santos Brasil","4.130.800","13,81","+0,36%"
"BRFS3","BRF","3.999.800","19,62","-1,90%"
"AZTE3","AZT Energia","3.927.600","0,55","-5,17%"
"IGTI11","Jereissati Participações","3.903.000","22,53","-2,97%"
"IGTI11","Iguatemi","3.903.000","22,53","-2,97%"
"INTB3","Intelbras","3.781.300","14,73","-6,89%"
"UGPA3","Ultrapar","3.742.400","17,54","-1,46%"
"ONCO3","Oncoclínicas","3.721.000","4,75","-8,65%"
"CEAB3","C&A","3.697.300","19,60","-3,02%"
"ENGI11","Energisa","3.630.600","46,95","-2,57%"
"VIVA3","Vivara","3.608.200","26,59","-1,74%"
"MULT3","Multiplan","3.351.000","26,69","-1,77%"
"FLRY3","Fleury","3.336.800","13,05","+0,38%"
"GGPS3","GPS","3.173.000","15,83","-0,50%"
"BHIA3","Casas Bahia","3.072.300","3,03","-3,50%"
"KLBN4","Klabin","2.981.900","3,77","+2,17%"
"ENJU3","Enjoei","2.817.300","1,17","-3,31%"
"CURY3","Cury","2.760.500","28,66","-4,82%"
"SLCE3","SLC Agrícola","2.622.600","18,01","+1,07%"
"AZZA3","Arezzo","2.555.500","39,58","-3,70%"
"HBSA3","Hidrovias do Brasil","2.481.000","3,47","-2,25%"
"SMTO3","São Martinho","2.416.600","17,32","+0,35%"
"HYPE3","Hypera","2.352.400","27,45","-0,94%"
"AMER3","Americanas","2.345.200","5,34","-1,48%"
"BRKM5","Braskem","2.344.200","9,13","-0,11%"
"GRND3","Grendene","2.303.300","5,39","-1,46%"
"BPAN4","Banco Pan","2.289.000","7,70","-1,28%"
"RECV3","PetroRecôncavo","2.265.500","14,64","-0,41%"
"PSSA3","Porto Seguro","2.237.500","54,60","-0,31%"
"TOTS3","Totvs","2.163.700","41,80","-1,60%"
